,id,target,ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin
0,20508,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0.4,0.9,0.7854139036,7,1,-1,0,0,15,1,1,2,1,87,3,0.316227766,0.9109866597,0.5329165038,3.6055512755,0.1,0.4,0.3,2,4,9,2,10,4,6,5,0,3,3,0,1,0,0,0,0
1,328282,0,1,1,5,1,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0.7,0.6,-1.0,10,0,-1,8,1,1,-1,1,2,1,85,3,0.4,0.6751032979,0.4,3.4641016151,0.3,0.7,0.0,2,2,8,2,10,0,8,11,2,5,6,0,1,1,0,0,0
2,694055,0,4,1,3,1,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0.6,0.1,0.6254998002,11,1,0,0,0,0,1,1,2,1,42,3,0.316227766,0.9594032236,0.450555213,3.6055512755,0.5,0.8,0.1,3,2,7,2,7,2,4,3,2,3,7,0,1,1,0,0,1
3,310315,0,0,1,5,1,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0.6,0.0,0.7185053932,4,1,1,0,1,1,1,1,2,1,104,3,0.5916079783,0.5447343731,0.3619392214,3.4641016151,0.7,0.2,0.9,3,3,7,5,9,4,5,3,1,1,6,0,1,1,0,0,1
4,254421,0,2,1,3,1,0,1,1,0,0,0,0,0,0,0,5,1,0,0,0.7,0.5,0.5528336097,10,1,1,0,0,0,1,1,2,1,104,3,0.4,0.7130136252,0.3619392214,3.6055512755,0.5,0.3,0.7,2,1,7,3,6,3,11,7,0,10,10,0,1,0,1,0,0
5,1466696,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0.9,1.2,1.1263880326,11,1,-1,0,-1,0,0,1,2,1,62,3,0.3160696126,0.617613375,0.3687817783,2.8284271247,0.9,0.3,0.0,2,0,5,6,8,3,3,5,0,5,4,0,0,1,0,1,0
6,334674,0,7,1,2,1,6,1,0,0,0,0,0,0,0,0,8,1,0,0,0.9,0.2,-1.0,4,1,-1,0,-1,11,1,1,0,1,91,3,0.4,0.7400301535,0.3687817783,2.6457513111,0.4,0.2,0.2,2,3,7,2,10,2,6,7,1,3,6,0,1,0,0,0,1
7,453995,0,5,1,5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0.2,-1.0,7,1,-1,8,1,1,0,1,2,1,42,1,0.4242640687,0.8435590923,0.3845776905,1.0,0.4,0.0,0.6,1,2,8,2,11,3,11,1,2,5,6,0,1,1,0,0,0
8,411757,0,5,2,2,0,4,1,0,0,0,0,0,0,0,0,10,0,0,0,0.6,0.0,-1.0,7,1,1,0,0,0,1,1,2,1,13,2,0.316227766,0.7166554551,0.4219004622,3.6055512755,0.0,0.8,0.2,2,2,5,2,7,3,7,4,3,2,12,0,0,0,1,1,1
9,1344719,0,3,1,6,0,-1,0,0,0,0,0,0,0,0,0,5,1,0,0,0.4,0.2,-1.0,11,1,-1,0,-1,10,1,1,2,1,50,2,0.4,1.4467904062,0.3788139385,2.2360679775,0.2,0.8,0.3,2,2,7,5,9,0,5,7,2,1,8,0,0,0,0,0,0
10,851904,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0.8,0.6,1.4040121082,11,1,0,0,-1,14,1,1,2,1,64,3,0.316227766,0.8999770429,-1.0,3.4641016151,0.2,0.3,0.7,1,2,8,1,7,2,6,3,3,4,9,0,1,0,0,0,0
11,992547,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9,0.3,0.651440711,6,1,0,0,0,1,1,1,2,1,100,3,0.3741657387,0.881279123,-1.0,3.4641016151,0.3,0.0,0.1,2,3,7,3,10,2,4,4,3,2,9,1,1,1,0,1,0
12,1071426,0,7,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.9,0.4,1.2519984026,7,1,-1,0,-1,16,1,1,2,1,80,1,0.4242640687,0.446288644,0.5213444159,2.0,0.9,0.8,0.8,2,3,8,3,9,2,13,5,2,4,10,0,1,1,0,0,0
13,179116,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0.6,0.7,1.109898644,11,0,-1,0,-1,1,1,1,2,1,104,3,0.3741657387,0.8756343627,0.4048456496,2.8284271247,0.7,0.8,0.3,2,3,6,1,8,4,7,4,2,3,8,0,0,0,0,0,0
14,864304,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0.2,0.7,1.1707369474,10,1,-1,0,0,0,1,1,2,1,104,2,0.316227766,0.7515136241,0.3794733192,0.0,0.5,0.0,0.1,1,0,7,1,10,3,10,4,0,4,8,0,1,1,0,0,0
15,97693,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.3,0.8699856321,11,1,-1,0,-1,11,1,0,2,1,103,2,0.4,0.7658112967,0.3498571137,3.7416573868,0.4,0.0,0.0,2,2,10,2,12,3,12,5,1,3,8,0,1,1,1,0,0
16,437139,0,6,1,10,0,0,1,1,1,0,0,0,0,0,0,13,1,1,0,0.8,0.2,0.9559027147,11,1,-1,0,-1,0,1,1,2,1,66,1,0.316227766,0.7537783614,0.4084115571,0.0,0.1,0.5,0.2,1,2,8,4,9,4,11,7,3,3,8,0,1,1,1,1,0
17,100154,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,9,1,0,1,0.3,0.0,0.8433563897,11,1,0,0,-1,13,1,0,0,1,90,2,0.3998749805,0.6580085156,0.3788139385,3.7416573868,0.5,0.2,0.0,2,2,9,3,10,2,5,3,1,4,13,0,0,0,0,1,1
18,829074,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.9,0.4,0.7017834424,4,1,-1,0,-1,2,1,1,2,1,44,0,0.316227766,0.9541774182,0.4306971093,3.6055512755,0.7,0.4,0.8,4,1,9,3,8,3,6,4,2,4,11,0,0,1,0,0,0
19,689969,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.9,0.2,-1.0,10,1,-1,0,1,0,1,1,3,1,87,0,0.4,0.8822515336,0.3687817783,3.4641016151,0.7,0.4,0.6,1,1,9,1,8,4,8,5,0,2,6,0,0,1,0,0,0
20,926000,0,4,1,9,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0.4,0.5,1.4267533073,11,1,1,0,1,15,1,1,0,1,12,3,0.4242640687,1.0310970648,0.3794733192,3.6055512755,0.9,0.7,0.7,2,3,8,4,9,1,4,9,3,0,6,0,1,0,1,0,1
21,1467723,0,1,1,6,1,4,1,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.9,-1.0,11,0,-1,0,1,14,1,1,2,1,103,2,0.4472135955,0.7577560392,-1.0,3.1622776602,0.4,0.3,0.6,3,3,8,2,10,4,13,5,2,3,5,0,1,0,0,0,0
22,1411124,0,3,1,5,0,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0.4,0.3,0.7433034374,11,0,-1,0,1,7,1,0,1,1,51,3,0.316227766,0.6764638244,-1.0,3.6055512755,0.2,0.5,0.2,5,2,5,3,7,3,13,5,2,2,8,0,1,1,0,1,0
